ITEM_NUMBER,MP_QTY,UNIT_WEIGHT,UNIT_VOLUME,UNIT_LENGTH,UNIT_HEIGHT,UNIT_WIDTH,BOX_LABEL
D236M-IS-BN,EA,8.5,1.62,32.3,9.5,9.1,BW-DS
LED1593L3-BK,12E,1.9,0.06,11.8,11.8,0.7,BW-DS
LED1512DLA-06,4EA,1.65,0.38,12.4,4.3,12.3,BW-DS
LED1511DL-06,4EA,1.9,0.4,12.8,4.2,12.7,BW-NA
LED15013-35,4EA,3.3,0.6,16.2,10.2,6.2,BW-DS
LED15009B-35,6EA,2.7,0.55,16.4,6.1,9.4,BW-DS
LED1102C-35,4EA,4.1,0.76,14,6.5,14.3,BW-DS
LED1073-05,8EA,2.35,0.36,10.7,10.7,5.4,BW-1A
LED1071-06,8EA,1.95,0.26,11.6,7.2,5.3,BW-1A
LED1002C-35,4EA,3.35,0.54,14,4.8,13.8,BW-1A
HBR36DMDP50,EA,7.55,0.61,14.2,14.2,5.2,BW-DS
HBR22DMDP50,EA,7.95,0.62,14.3,14.3,5.2,BW-DS
HBPHOTOCELL,10E,1.75,0.3,8.5,7,8.5,CB-NA
HB7088-314,4EA,6,0.81,11.8,12.5,9.4,BW-DS
HB7080-314,4EA,3.1,0.45,8.5,7.7,11.7,BW-DS
HB2628-313,EA,13.15,1.82,38,10.2,8.1,BW-DS
HB2627-35,4EA,3.15,0.58,11,7.3,12.4,BW-DS
HB2627-322,4EA,3.25,0.58,11,7.3,12.4,BW-DS
HB2625-35,2EA,7.65,1.45,20.5,13.8,8.8,BW-DS
HB2624-313,2EA,7.05,1.13,22.3,10.5,8.3,BW-DS
HB2595-35,EA,9.4,1.74,34.2,8.5,10.3,BW-DS
HB2586-313,2EA,9.95,1.47,29,10.5,8.3,BW-DS
HB2584-35,EA,14.25,2.46,33.6,13.7,9.2,BW-DS
HB1080-35,4EA,3.25,0.85,10.7,10.7,12.8,BW-DS
HB1079-326,2EA,7.65,0.97,12,12,11.6,BW-DS
HB1078-35,4EA,3.75,0.74,10.4,10.4,11.7,BW-DS
EVLT61091T50BZ,2EA,7.65,0.97,12,12,11.6,BW-DS
EVG41067RT-35D,EA,8.35,0.65,16.3,4.2,16.4,CB-DS
EVG41067RT-35,EA,8.35,0.6,16.3,3.9,16.3,CL-DS
EVG41065RT-35D,EA,9.7,0.85,34.8,4.4,9.5,CB-DS
97593-BU,EA,9.3,0.82,11,9,14.3,BW-DS
EVG41065RT-35,EA,9.85,0.83,34.8,9.5,4.3,CL-DS
EV82022MVK33WH,8EA,2.1,0.42,10.5,10.5,6.5,BW-NA
EV61518MVK33WH,8EA,1.65,0.24,8.5,8.5,5.7,BW-NA
EV3163C3B-43,EA,5.05,0.87,17.5,4.8,17.7,CL-DS
EV1583C3-43,EA,17.35,3.45,47.2,16.4,7.7,CL-DS
EV1561C3-151,EA,8.7,1.43,19.5,6.3,20,BW-DS
EV1517L4-151,EA,22,4.42,53.9,21.8,6.5,BW-DS
EV1414LED-34T,EA,10.35,1.74,16.2,16.2,11.4,BW-NA
EV103032MVK33WH,4EA,2.5,0.55,11.7,11.7,6.9,BW-DS
DESDFP6730WH27,6EA,0.95,0.12,8,3,8,BW-NA
DC024C3D-35D,EA,5.95,1.13,14.8,5,26.3,CB-1A
D332M-3B-MB,EA,8.55,2.28,26.7,15.8,9.3,BW-DS
D318M-3B-MB,4EA,6.95,0.7,26.7,6.8,6.6,BW-DS
D303M-6EW-BK,EA,4.2,0.86,11,9,15,BW-DS
D301C-14P-MB,EA,12.9,2.62,17.5,17.2,15,BW-DS
D300M-10CH-BG,EA,14.9,4.67,24,24,14,BW-DS
D296C-3CH-BG,EA,9.8,3.53,30,20.3,10,BW-DS
D293M-7P-BG,2EA,3.9,0.68,15,9.7,8,BW-DS
D290M-4CH-MB,EA,10.15,2.49,19.5,19.5,11.3,BW-DS
D278M-SF-BN,EA,5.85,1.05,14.6,14.6,8.5,BW-B
D278M-9CH-BN,EA,27.1,7.88,31.3,27.7,15.7,BW-DS
D274M-12P-MB,EA,7.55,1.53,13.7,14,13.7,BW-DS
D273M-WS-GM,4EA,1.9,0.44,11.4,8.7,7.5,BW-DS
D273M-SF-GM,4EA,2.6,0.72,13,9.8,9.7,BW-DS
D273M-8P-GM,2EA,3.8,1.19,18.2,10.8,10.4,BW-DS
D272M-5EW-BK,2EA,3.35,0.82,8.7,8.7,18.5,BW-DS
D270H-IS-PN,EA,12.25,2.77,34,14.5,9.7,BW-DS
D270H-5CH-PN,EA,10.15,2.56,21.7,16.3,12.5,BW-DS
D270H-4CH-PN,EA,7.95,1.61,19.5,14.5,9.8,BW-DS
D270H-10P-PN,2EA,5.2,0.86,17.5,9.2,9.2,BW-DS
D269C-IS-MB,EA,9.6,1.41,24.3,8,12.5,BW-DS
D269C-IS-BN,EA,9.55,2,34.4,8,12.5,BW-DS
D269C-6CH-MB,EA,8.5,1.75,27.6,8.2,13.3,BW-DS
D269C-6CH-BN,EA,8.3,1.75,27.7,8.2,13.3,BW-DS
D269C-4CH-MB,4EA,5,0.64,15.7,7.5,9.3,BW-DS
D269C-4CH-BN,4EA,4.95,0.65,15.9,7.4,9.4,BW-DS
D269C-3B-MB,2EA,3,0.51,22.4,4.6,8.5,BW-DS
D269C-2B-MB,6EA,2.3,0.11,2.3,16.2,4.7,BW-DS
D269C-2B-BN,6EA,2.3,0.38,16.2,4.7,8.6,BW-DS
D268C-IS-PN,EA,11,2.11,34.4,16,6.6,BW-DS
D268C-IS-MB,EA,11,2.15,34,16.5,6.6,BW-DS
D268C-5CH-PN,EA,11.95,2.2,24,24,6.6,BW-DS
D268C-5CH-MB,EA,11.9,2.17,23.8,23.8,6.6,BW-DS
D268C-2B-PN,2EA,2.8,0.47,12.5,7.5,8.5,BW-DS
D268C-2B-MB,2EA,2.8,0.47,12.5,7.5,8.5,BW-DS
D268C-14P-PN,EA,8.15,1.23,16.5,16.5,7.8,BW-DS
D268C-14P-MB,EA,8.1,1.23,16.5,16.5,7.8,BW-DS
D267M-SF-MB,EA,5.65,1.07,14.7,14.7,8.5,BW-DS
D267M-5P-BN,4EA,3.5,0.33,6.4,6.7,13,BW-DS
D267M-5CH-BN,EA,15.05,3.89,20,19.5,17.2,BW-DS
D267M-3CH-MB,EA,10.25,2.31,16.8,15.5,15.3,BW-DS
D264M-10EW-BK,EA,4.65,1.22,13.2,12.5,12.7,BW-DS
D263M-SF-MB,2EA,7.8,1.34,18.7,6.5,19,BW-DS
D263M-IS-MB,EA,16.1,3.36,41.5,6.5,21.5,BW-DS
D263M-4P-MB,2EA,6,0.61,16.3,8,8,BW-DS
D261M-8EW-BK,4EA,3.6,0.52,9,6.5,15.2,BW-DS
D260M-SF-MW,EA,4.05,1.16,12.4,12.4,13,BW-DS
D260M-SF-MB,EA,4,1.14,12.3,12.3,13,BW-DS
D259M-5CH-OSB,EA,12,2.44,22.6,19,9.8,BW-DS
D257M-WS-MB,4EA,2.9,0.55,12.8,8.2,9,BW-DS
D257M-SF-MB,4EA,6.25,0.99,13.5,13.5,9.3,BW-DS
D257M-SF-BG,4EA,6.15,0.99,13.5,13.5,9.3,BW-DS
D256M-IS-BG,EA,13.1,2.67,35.7,14.5,8.9,BW-DS
D256M-8CH-BG,EA,23.7,3.65,27.7,27.7,8.2,BW-DS
ST8N100DMD50,EA,7.55,0.48,97.5,3,2.8,CB-NA
ST8N100DMD40,EA,7.55,0.48,97.5,3,2.8,CB-NA
ST8LSWDMDSC,EA,12.8,1.11,96.8,4.7,4.2,CB-NA
ST4N50DMD50,EA,3.85,0.25,49,3.1,2.8,CB-NA
ST4N50DMD40,EA,3.85,0.25,49,3.1,2.8,CB-NA
RKR682-6PK,EA,1.55,0.21,6.7,6.7,7.7,BW-DS
LED7092RGB-43,EA,5.4,0.87,9.3,9.5,16.9,BW-DS
LED7024-05,4EA,2.65,0.54,9.3,8,12.5,BW-1A
LED6809-05,6EA,1.5,0.24,6.9,6.8,8.8,BW-DS
LED52005P-154-H,EA,11.7,2.03,38.7,9.5,9.5,BW-DS
LED52003P-154-H,2EA,7.05,1.34,27,9.3,9.2,BW-DS
LED4503P-35,EA,7.25,1.19,31.3,6.9,9.5,BW-DS
LED4303P-35,2EA,5.55,1.31,24,8.8,10.7,BW-DS
LED4208P-AL-62H,EA,14.85,2.51,20.2,20.4,10.5,BW-DS
LED4203P-07-H,EA,7.9,1.15,20.4,9.8,9.9,BW-DS
LED33001-ORB,6EA,1.85,0.12,5.6,5.2,6.6,BW-DS
LED2861P-05,6EA,2.25,0.24,7.6,6.1,8.9,BW-DS
LED2061-05,12E,1.9,0.17,7.3,5.4,7.2,BW-DS
LED1592L3-WH,12E,1.1,0.04,8.9,8.9,0.7,BW-DS
LED1592L3-BK,12E,1.1,0.04,8.9,8.9,0.7,BW-DS
LED1591L3-BK,12E,0.75,0.02,7,7,0.7,BW-DS
HB7019A-292,EA,39,6.14,25.4,21.4,19.5,CB-DS
HB1517C3A-151D,EA,25.45,4.93,57.1,21.3,7,CB-DS
G2174F/4,6EA,3.05,0.32,6.7,6.7,12.2,BW-DS
FS-CSN52RGB-MW,EA,15.8,1.31,25,11,8.2,CB-DS
FS-CSN52RGB-MB,EA,15.9,1.38,25.2,11.1,8.5,CB-DS
FS-CSN52RGB-BN,EA,15.8,1.31,25,11,8.2,CB-DS
FS-ATR52RGB-MW,EA,17.95,1.82,24.9,10.3,12.2,CB-DS
FS-ATR52RGB-BN,EA,17.3,1.82,25,10.3,12.2,CB-DS
FR-CSQ52C5-MWBG,EA,22.35,1.88,24.4,13.8,9.6,CB-DS
FR-CSQ52C5-MBBG,EA,21.8,1.9,24.5,13.8,9.7,BW-DS
FP-STL52B30-MW,EA,19.6,1.53,21.7,12.5,9.7,CB-DS
FP-STL52B30-MB,EA,19.05,1.52,21.8,12.4,9.7,CB-DS
FP-STL52B30-BN,EA,19.05,1.52,21.8,12.4,9.7,CB-DS
FP-GLT52B30-MB,EA,18.75,1.64,23.2,12.4,9.8,CB-DS
FP-GLT52B30-BN,EA,18.75,1.64,23.2,12.4,9.8,CB-DS
EVL40893T50WH,6EA,0.25,0.04,5.1,5.1,2,BW-DS
EVL40893T50BZ,6EA,0.25,0.04,5.1,5.1,2,BW-1A
EVL40893T50BK,6EA,0.25,0.04,5.1,5.1,2,BW-1A
EVG31066RT-35D,EA,8.1,0.8,18.3,4.1,18.3,CB-DS
EV3164C3B-43,EA,11.9,2.34,49.6,6.2,13.1,CL-DS
EV1589C3-43,EA,5.95,0.79,16.5,16.5,5,CL-DS
