PO_NUMBER,VENDOR_NUMBER,VENDOR_NAME,VENDOR_SITE,ITEM_NUMBER,UOM,OLD_UNIT_PRICE,NEW_UNIT_PRICE
2002358,203815,LITESTAR CORPORATION LIMITED,XYM,GLD317M-10EW-BK,EA,4.6,6
2002358,203815,LITESTAR CORPORATION LIMITED,XYM,GLD317M-14EW-BK,EA,4.6,9
2002358,203815,LITESTAR CORPORATION LIMITED,XYM,GLD319M-14EW-IO,EA,4.3,4
2002358,203815,LITESTAR CORPORATION LIMITED,XYM,GLD319M-14EW-BK,EA,4.3,4
2002358,203815,LITESTAR CORPORATION LIMITED,XYM,GLD327M-14EW-BK,EA,4.8,4
2002358,203815,LITESTAR CORPORATION LIMITED,XYM,GLD327M-18EW-BK,EA,6.5,6
2002303,203815,LITESTAR CORPORATION LIMITED,TLL,GLD323M-FM-MBBG,EA,11.5,4
2002304,203815,LITESTAR CORPORATION LIMITED,XYM,GLD305M-15P-MB,EA,17.4,11
2002302,203815,LITESTAR CORPORATION LIMITED,RSL,GLD307M-SF-BG,EA,9.8,9
2002302,203815,LITESTAR CORPORATION LIMITED,RSL,GLD312M-SF-BG,EA,6.5,6
2002302,203815,LITESTAR CORPORATION LIMITED,RSL,GLD308M-SF-BG,EA,9.8,9
2002302,203815,LITESTAR CORPORATION LIMITED,RSL,GLD321M-SF-MB,EA,4.5,4
