ITEM_NUMBER,CUSTOMER_NUMBER,CUSTOMER_NAME,AD_AMOUNT,DATE_FROM,DATE_TO
EVL40893T50BK,206409,"AMAZON.COM, INC. DROP SHIP",21.11,5/4/2025,5/10/2025
EVL40893T50BZ,206409,"AMAZON.COM, INC. DROP SHIP",21.11,5/4/2025,5/10/2025
EVL40893T50WH-6,206409,"AMAZON.COM, INC. DROP SHIP",21.11,5/4/2025,5/10/2025
EVL61093T50WH-6,206409,"AMAZON.COM, INC. DROP SHIP",21.11,5/4/2025,5/10/2025
EVL40893T50BK-6,206409,"AMAZON.COM, INC. DROP SHIP",21.11,5/4/2025,5/10/2025
RB6BK9105C6,206409,"AMAZON.COM, INC. DROP SHIP",35.03,5/4/2025,5/10/2025
RB6BZ9105C6,206409,"AMAZON.COM, INC. DROP SHIP",35.03,5/4/2025,5/10/2025
RB6WH9105C12,206409,"AMAZON.COM, INC. DROP SHIP",35.03,5/4/2025,5/10/2025
FP-GLT52B30-BN,200264,LOWES.COM - Vendor# 101994,201.15,5/4/2025,5/10/2025
FP-GLT52B30-MB,200264,LOWES.COM - Vendor# 101994,200.28,5/4/2025,5/10/2025
FP-GLT52B30-MW,200264,LOWES.COM - Vendor# 101994,201.15,5/4/2025,5/10/2025
FP-STL52B30-BN,200264,LOWES.COM - Vendor# 101994,180.82,5/4/2025,5/10/2025
FP-STL52B30-MB,200264,LOWES.COM - Vendor# 101994,242.04,5/4/2025,5/10/2025
FP-STL52B30-MW,200264,LOWES.COM - Vendor# 101994,195.81,5/4/2025,5/10/2025
FS-CSN52RGB-BN,200264,LOWES.COM - Vendor# 101994,103.61,5/4/2025,5/10/2025
FS-CSN52RGB-MB,200264,LOWES.COM - Vendor# 101994,193.69,5/4/2025,5/10/2025
FS-CSN52RGB-MW,200264,LOWES.COM - Vendor# 101994,6.08,5/4/2025,5/10/2025
