ITEM_NUMBER,CUSTOMER_NUMBER,CUSTOMER_NAME,AD_AMOUNT,DATE_FROM,DATE_TO
EVL40893T50BK,206409,"AMAZON.COM, INC. DROP SHIP",20.88,5/18/2025,5/24/2025
EVL40893T50BZ,206409,"AMAZON.COM, INC. DROP SHIP",20.88,5/18/2025,5/24/2025
EVL40893T50WH-6,206409,"AMAZON.COM, INC. DROP SHIP",20.88,5/18/2025,5/24/2025
EVL61093T50WH-6,206409,"AMAZON.COM, INC. DROP SHIP",20.88,5/18/2025,5/24/2025
EVL40893T50BK-6,206409,"AMAZON.COM, INC. DROP SHIP",20.88,5/18/2025,5/24/2025
RB6BK9105C6,206409,"AMAZON.COM, INC. DROP SHIP",34.96,5/18/2025,5/24/2025
RB6BZ9105C6,206409,"AMAZON.COM, INC. DROP SHIP",34.96,5/18/2025,5/24/2025
RB6WH9105C12,206409,"AMAZON.COM, INC. DROP SHIP",34.96,5/18/2025,5/24/2025
FP-GLT52B30-BN,200264,LOWES.COM - Vendor# 101994,48.23,5/18/2025,5/24/2025
FP-GLT52B30-MB,200264,LOWES.COM - Vendor# 101994,66.25,5/18/2025,5/24/2025
FP-GLT52B30-MW,200264,LOWES.COM - Vendor# 101994,84.97,5/18/2025,5/24/2025
FP-STL52B30-MB,200264,LOWES.COM - Vendor# 101994,61.64,5/18/2025,5/24/2025
FP-STL52B30-MW,200264,LOWES.COM - Vendor# 101994,26.18,5/18/2025,5/24/2025
FS-CSN52RGB-BN,200264,LOWES.COM - Vendor# 101994,77.52,5/18/2025,5/24/2025
FS-CSN52RGB-MB,200264,LOWES.COM - Vendor# 101994,120.66,5/18/2025,5/24/2025
